time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180420:1910,0.0,0.0,0.0,0.0,0.0,20.1,1.52,0.0
20180420:2010,0.0,0.0,0.0,0.0,0.0,17.54,2.0,0.0
20180420:2110,0.0,0.0,0.0,0.0,0.0,15.98,2.0,0.0
20180420:2210,0.0,0.0,0.0,0.0,0.0,15.22,1.86,0.0
20180420:2310,0.0,0.0,0.0,0.0,0.0,14.76,1.66,0.0
20180421:0010,0.0,0.0,0.0,0.0,0.0,14.18,1.59,0.0
20180421:0110,0.0,0.0,0.0,0.0,0.0,13.88,1.52,0.0
20180421:0210,0.0,0.0,0.0,0.0,0.0,13.44,1.45,0.0
20180421:0310,0.0,0.0,0.0,0.0,0.0,13.02,1.45,0.0
20180421:0410,0.0,0.0,0.0,0.0,0.0,12.65,1.38,0.0
20180421:0510,28.55,12.62,41.9,0.0,6.72,12.58,1.24,0.0
20180421:0610,159.77,132.96,89.99,0.0,16.42,14.19,0.69,0.0
20180421:0710,304.49,266.88,125.4,0.01,26.08,17.54,0.55,0.0
20180421:0810,430.82,403.11,147.78,0.01,35.26,19.74,0.69,0.0
20180421:0910,527.22,524.2,158.05,0.01,43.33,21.57,0.9,0.0
20180421:1010,591.17,614.81,159.21,0.01,49.38,22.8,1.1,0.0
20180421:1110,615.95,650.51,162.29,0.01,52.27,24.15,1.31,0.0
20180421:1210,608.28,649.5,153.23,0.01,51.21,24.68,1.38,0.0
20180421:1310,555.35,567.19,162.18,0.01,46.51,25.18,1.38,0.0
20180421:1410,440.71,365.28,210.05,0.01,39.26,25.51,1.31,0.0
20180421:1510,355.25,323.16,142.66,0.01,30.51,25.37,1.31,0.0
20180421:1610,216.91,182.02,115.24,0.0,21.01,24.57,1.45,0.0
20180421:1710,81.8,70.54,65.89,0.0,11.29,23.52,1.93,0.0
20180421:1810,0.0,0.0,0.0,0.0,0.0,21.7,2.34,0.0
20180421:1910,0.0,0.0,0.0,0.0,0.0,20.5,2.34,0.0
20180421:2010,0.0,0.0,0.0,0.0,0.0,19.11,2.21,0.0
20180421:2110,0.0,0.0,0.0,0.0,0.0,17.91,2.0,0.0
20180421:2210,0.0,0.0,0.0,0.0,0.0,16.4,1.79,0.0
20180421:2310,0.0,0.0,0.0,0.0,0.0,15.59,1.59,0.0
20180422:0010,0.0,0.0,0.0,0.0,0.0,15.83,1.24,0.0
20180422:0110,0.0,0.0,0.0,0.0,0.0,15.75,1.1,0.0
20180422:0210,0.0,0.0,0.0,0.0,0.0,15.06,1.1,0.0
20180422:0310,0.0,0.0,0.0,0.0,0.0,13.81,1.17,0.0
20180422:0410,0.0,0.0,0.0,0.0,0.0,12.83,1.24,0.0
20180422:0510,35.09,29.14,40.79,0.0,7.01,12.7,1.1,0.0
20180422:0610,164.34,136.93,91.98,0.0,16.7,14.62,0.34,0.0
20180422:0710,311.79,281.93,120.39,0.01,26.37,17.78,0.41,0.0
20180422:0810,437.9,416.17,143.76,0.01,35.56,20.24,0.9,0.0
20180422:0910,536.99,550.42,144.99,0.01,43.65,22.4,1.17,0.0
20180422:1010,596.6,631.93,152.16,0.01,49.72,24.27,1.38,0.0
20180422:1110,624.06,680.8,146.19,0.01,52.61,25.65,1.59,0.0
20180422:1210,613.84,666.61,146.18,0.01,51.53,26.64,1.86,0.0
20180422:1310,242.38,14.18,307.03,0.0,46.8,27.13,2.28,0.0
20180422:1410,434.54,332.83,230.02,0.01,39.51,27.05,2.97,0.0
20180422:1510,258.25,98.95,240.32,0.01,30.74,26.82,3.17,0.0
20180422:1610,181.09,91.49,156.15,0.0,21.23,25.98,2.69,0.0
20180422:1710,42.19,3.97,65.99,0.0,11.51,24.33,2.69,0.0
20180422:1810,0.0,0.0,0.0,0.0,0.0,22.58,2.48,0.0
20180422:1910,0.0,0.0,0.0,0.0,0.0,21.38,2.76,0.0
20180422:2010,0.0,0.0,0.0,0.0,0.0,19.85,2.41,0.0
20180422:2110,0.0,0.0,0.0,0.0,0.0,18.5,2.28,0.0
20180422:2210,0.0,0.0,0.0,0.0,0.0,17.29,2.21,0.0
20180422:2310,0.0,0.0,0.0,0.0,0.0,16.21,2.21,0.0
20180423:0010,0.0,0.0,0.0,0.0,0.0,15.41,2.21,0.0
20180423:0110,0.0,0.0,0.0,0.0,0.0,14.85,2.34,0.0
20180423:0210,0.0,0.0,0.0,0.0,0.0,14.56,2.21,0.0
20180423:0310,0.0,0.0,0.0,0.0,0.0,14.27,2.21,0.0
20180423:0410,0.0,0.0,0.0,0.0,0.0,14.06,2.14,0.0
20180423:0510,29.72,9.72,44.92,0.0,7.3,14.03,2.07,0.0
