time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180513:0510,0.0,0.0,0.0,0.0,0.0,6.69,2.07,0.0
20180513:0610,4736000.0,12.48,64.08,2.08,10.86,6.56,1.79,0.0
20180513:0710,21347000.0,151.66,120.12,5.82,22.36,8.84,2.28,0.0
20180513:0810,44417000.0,406.46,119.42,10.03,34.06,10.42,2.76,0.0
20180513:0910,62263000.0,615.33,130.4,13.45,45.63,11.99,2.48,0.0
20180513:1010,73996000.0,775.54,139.11,16.11,56.54,13.28,1.93,0.0
20180513:1110,79940000.0,859.38,153.43,17.73,65.56,14.44,1.66,0.0
20180513:1210,81317000.0,887.15,153.78,18.35,69.7,15.4,1.59,0.0
20180513:1310,79047000.0,889.16,117.72,18.11,66.19,16.22,1.72,0.0
20180513:1410,70674000.0,768.31,114.64,16.47,57.46,16.95,2.07,0.0
20180513:1510,56522000.0,567.21,123.4,13.71,46.64,17.26,2.62,0.0
20180513:1610,38037000.0,374.55,95.0,10.5,35.1,17.36,3.1,0.0
20180513:1710,15709000.0,157.99,71.5,6.74,23.41,16.98,3.31,0.0
20180513:1810,2758000.0,0.0,47.05,1.0,11.88,16.27,3.1,0.0
20180513:1910,0.0,0.0,0.0,0.0,0.0,15.2,2.07,0.0
20180513:2010,0.0,0.0,0.0,0.0,0.0,13.73,2.07,0.0
20180513:2110,0.0,0.0,0.0,0.0,0.0,12.52,2.28,0.0
20180513:2210,0.0,0.0,0.0,0.0,0.0,11.62,2.41,0.0
20180513:2310,0.0,0.0,0.0,0.0,0.0,10.86,2.48,0.0
20180514:0010,0.0,0.0,0.0,0.0,0.0,10.16,2.41,0.0
20180514:0110,0.0,0.0,0.0,0.0,0.0,9.4,2.07,0.0
20180514:0210,0.0,0.0,0.0,0.0,0.0,8.45,1.66,0.0
20180514:0310,0.0,0.0,0.0,0.0,0.0,7.74,1.59,0.0
20180514:0410,0.0,0.0,0.0,0.0,0.0,7.25,1.72,0.0
20180514:0510,0.0,0.0,0.0,0.0,0.0,6.98,1.93,0.0
20180514:0610,3516000.0,27.31,44.12,2.58,11.01,7.63,2.07,0.0
20180514:0710,20903000.0,158.68,112.5,5.86,22.51,11.23,1.31,0.0
20180514:0810,42110000.0,372.66,134.59,9.7,34.2,13.31,2.21,0.0
20180514:0910,58820000.0,565.08,154.14,13.02,45.77,14.82,1.72,0.0
20180514:1010,63961000.0,530.55,274.84,14.31,56.71,16.14,1.03,0.0
20180514:1110,72432000.0,678.98,253.21,16.4,65.77,17.31,1.1,0.0
20180514:1210,75644000.0,741.93,232.71,17.24,69.94,18.83,1.72,0.0
20180514:1310,70233000.0,611.94,280.57,16.11,66.4,18.98,2.0,0.0
20180514:1410,56140000.0,353.48,343.78,13.09,57.63,19.03,2.34,0.0
20180514:1510,48386000.0,333.74,259.87,11.67,46.79,18.74,2.69,0.0
20180514:1610,36873000.0,343.66,112.53,10.18,35.24,18.09,3.24,0.0
20180514:1710,12759000.0,12.95,155.71,3.57,23.55,17.52,3.31,0.0
20180514:1810,3016000.0,0.0,50.47,1.07,12.03,16.97,3.03,0.0
20180514:1910,0.0,0.0,0.0,0.0,0.0,16.57,2.48,0.0
20180514:2010,0.0,0.0,0.0,0.0,0.0,15.31,2.07,0.0
20180514:2110,0.0,0.0,0.0,0.0,0.0,14.02,1.72,0.0
20180514:2210,0.0,0.0,0.0,0.0,0.0,12.49,1.66,0.0
20180514:2310,0.0,0.0,0.0,0.0,0.0,11.69,1.59,0.0
20180515:0010,0.0,0.0,0.0,0.0,0.0,10.79,1.66,0.0
20180515:0110,0.0,0.0,0.0,0.0,0.0,9.86,2.28,0.0
20180515:0210,0.0,0.0,0.0,0.0,0.0,10.15,2.97,0.0
20180515:0310,0.0,0.0,0.0,0.0,0.0,9.96,3.17,0.0
20180515:0410,0.0,0.0,0.0,0.0,0.0,9.43,2.83,0.0
20180515:0510,0.0,0.0,0.0,0.0,0.0,8.8,2.62,0.0
20180515:0610,3687000.0,27.37,46.34,2.66,11.16,8.83,2.55,0.0
20180515:0710,22196000.0,204.44,84.29,6.39,22.64,10.85,2.55,0.0
20180515:0810,43932000.0,416.02,110.05,10.12,34.33,12.93,2.83,0.0
20180515:0910,61350000.0,618.06,123.73,13.47,45.91,15.01,2.9,0.0
20180515:1010,73745000.0,793.47,120.97,16.2,56.87,16.88,2.9,0.0
20180515:1110,80566000.0,913.52,109.13,18.0,65.97,18.37,2.69,0.0
20180515:1210,82466000.0,976.74,84.62,18.82,70.18,19.57,2.48,0.0
20180515:1310,78594000.0,926.49,84.36,18.29,66.61,20.45,2.34,0.0
20180515:1410,68912000.0,758.02,115.2,16.38,57.79,21.09,2.41,0.0
20180515:1510,54869000.0,559.79,123.89,13.65,46.93,21.41,2.62,0.0
20180515:1610,36920000.0,369.06,96.46,10.48,35.38,21.4,2.83,0.0
20180515:1710,15353000.0,155.64,72.97,6.75,23.68,21.09,3.03,0.0
20180515:1810,2895000.0,0.0,49.62,1.06,12.17,20.42,2.69,0.0
20180515:1910,0.0,0.0,0.0,0.0,0.0,19.56,1.93,0.0
20180515:2010,0.0,0.0,0.0,0.0,0.0,17.63,1.66,0.0
20180515:2110,0.0,0.0,0.0,0.0,0.0,15.73,1.52,0.0
20180515:2210,0.0,0.0,0.0,0.0,0.0,14.82,1.45,0.0
20180515:2310,0.0,0.0,0.0,0.0,0.0,14.6,1.31,0.0
20180516:0010,0.0,0.0,0.0,0.0,0.0,14.6,1.24,0.0
20180516:0110,0.0,0.0,0.0,0.0,0.0,13.67,1.38,0.0
20180516:0210,0.0,0.0,0.0,0.0,0.0,12.17,1.66,0.0
20180516:0310,0.0,0.0,0.0,0.0,0.0,11.22,1.72,0.0
20180516:0410,0.0,0.0,0.0,0.0,0.0,10.31,1.79,0.0
20180516:0510,0.0,0.0,0.0,0.0,0.0,9.45,2.07,0.0
20180516:0610,3725000.0,27.09,47.15,2.68,11.3,9.96,2.0,0.0
20180516:0710,21833000.0,200.04,87.76,6.39,22.77,13.56,2.14,0.0
20180516:0810,42849000.0,406.79,115.64,10.08,34.46,15.84,2.28,0.0
